image_path,make_id,model_id,year,bbox,viewpoint,car_type,make_name,model_name,car_type_name,relative_key,split,type
../../data/raw/compcars/image\100\211\2011\0740327420266e.jpg,100,211,2011,"(103, 167, 812, 541)",5,1,Honda,Crosstour,fastback,100/211/2011/0740327420266e.jpg,train,6
../../data/raw/compcars/image\100\211\2011\0c55734d1a96ac.jpg,100,211,2011,"(56, 215, 839, 478)",3,1,Honda,Crosstour,fastback,100/211/2011/0c55734d1a96ac.jpg,test,6
../../data/raw/compcars/image\100\211\2011\0f926e3fca6547.jpg,100,211,2011,"(103, 246, 835, 484)",3,1,Honda,Crosstour,fastback,100/211/2011/0f926e3fca6547.jpg,train,6
../../data/raw/compcars/image\100\211\2011\1b1cd08562462e.jpg,100,211,2011,"(89, 249, 825, 482)",3,1,Honda,Crosstour,fastback,100/211/2011/1b1cd08562462e.jpg,test,6
../../data/raw/compcars/image\100\211\2011\1c1310ddd55afa.jpg,100,211,2011,"(65, 225, 835, 480)",3,1,Honda,Crosstour,fastback,100/211/2011/1c1310ddd55afa.jpg,train,6
../../data/raw/compcars/image\100\211\2011\22ff15ed203313.jpg,100,211,2011,"(94, 175, 805, 546)",4,1,Honda,Crosstour,fastback,100/211/2011/22ff15ed203313.jpg,test,6
../../data/raw/compcars/image\100\211\2011\2a5b0f68e87ade.jpg,100,211,2011,"(100, 173, 812, 580)",5,1,Honda,Crosstour,fastback,100/211/2011/2a5b0f68e87ade.jpg,test,6
../../data/raw/compcars/image\100\211\2011\2f5dce33d58851.jpg,100,211,2011,"(77, 215, 835, 577)",5,1,Honda,Crosstour,fastback,100/211/2011/2f5dce33d58851.jpg,train,6
../../data/raw/compcars/image\100\211\2011\36de64dfcbf165.jpg,100,211,2011,"(150, 153, 779, 512)",4,1,Honda,Crosstour,fastback,100/211/2011/36de64dfcbf165.jpg,train,6
../../data/raw/compcars/image\100\211\2011\390f0ff8487483.jpg,100,211,2011,"(132, 131, 804, 503)",1,1,Honda,Crosstour,fastback,100/211/2011/390f0ff8487483.jpg,train,6
../../data/raw/compcars/image\100\211\2011\3ce32be8d3c67c.jpg,100,211,2011,"(91, 198, 842, 525)",4,1,Honda,Crosstour,fastback,100/211/2011/3ce32be8d3c67c.jpg,train,6
../../data/raw/compcars/image\100\211\2011\4f8770942ba4d7.jpg,100,211,2011,"(91, 207, 838, 523)",4,1,Honda,Crosstour,fastback,100/211/2011/4f8770942ba4d7.jpg,test,6
../../data/raw/compcars/image\100\211\2011\5763b22d53f307.jpg,100,211,2011,"(77, 127, 852, 599)",5,1,Honda,Crosstour,fastback,100/211/2011/5763b22d53f307.jpg,train,6
../../data/raw/compcars/image\100\211\2011\6216b7008e351f.jpg,100,211,2011,"(149, 136, 770, 583)",1,1,Honda,Crosstour,fastback,100/211/2011/6216b7008e351f.jpg,train,6
../../data/raw/compcars/image\100\211\2011\862f8230c798e1.jpg,100,211,2011,"(97, 171, 791, 495)",5,1,Honda,Crosstour,fastback,100/211/2011/862f8230c798e1.jpg,test,6
../../data/raw/compcars/image\100\211\2011\8a726f020abda4.jpg,100,211,2011,"(52, 96, 873, 505)",4,1,Honda,Crosstour,fastback,100/211/2011/8a726f020abda4.jpg,train,6
../../data/raw/compcars/image\100\211\2011\8e90731c1c6d3f.jpg,100,211,2011,"(159, 173, 792, 530)",4,1,Honda,Crosstour,fastback,100/211/2011/8e90731c1c6d3f.jpg,test,6
../../data/raw/compcars/image\100\211\2011\97f7edb2a1ea4c.jpg,100,211,2011,"(171, 132, 727, 582)",2,1,Honda,Crosstour,fastback,100/211/2011/97f7edb2a1ea4c.jpg,test,6
../../data/raw/compcars/image\100\211\2011\a92281c217a201.jpg,100,211,2011,"(105, 245, 832, 484)",3,1,Honda,Crosstour,fastback,100/211/2011/a92281c217a201.jpg,test,6
../../data/raw/compcars/image\100\211\2011\b246b9ac486597.jpg,100,211,2011,"(99, 172, 786, 536)",4,1,Honda,Crosstour,fastback,100/211/2011/b246b9ac486597.jpg,train,6
../../data/raw/compcars/image\100\211\2011\b887eb0b238e39.jpg,100,211,2011,"(177, 158, 731, 519)",1,1,Honda,Crosstour,fastback,100/211/2011/b887eb0b238e39.jpg,train,6
../../data/raw/compcars/image\100\211\2011\c0b45e4a5ed3b3.jpg,100,211,2011,"(141, 157, 807, 535)",4,1,Honda,Crosstour,fastback,100/211/2011/c0b45e4a5ed3b3.jpg,train,6
../../data/raw/compcars/image\100\211\2011\c6691697c92669.jpg,100,211,2011,"(180, 129, 734, 560)",1,1,Honda,Crosstour,fastback,100/211/2011/c6691697c92669.jpg,test,6
../../data/raw/compcars/image\100\211\2011\d1c3e5768af130.jpg,100,211,2011,"(85, 203, 817, 563)",5,1,Honda,Crosstour,fastback,100/211/2011/d1c3e5768af130.jpg,train,6
../../data/raw/compcars/image\100\211\2011\d3ad0faf6e29a6.jpg,100,211,2011,"(164, 133, 736, 560)",2,1,Honda,Crosstour,fastback,100/211/2011/d3ad0faf6e29a6.jpg,test,6
