image_path,make_id,model_id,year,bbox,viewpoint,car_type,make_name,model_name,car_type_name
../../data/raw/compcars/image\1\1101\2011\07b90decb92ba6.jpg,1,1101,2011,"(124, 33, 674, 480)",1,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\2272c7d324cf79.jpg,1,1101,2011,"(52, 153, 849, 506)",4,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\3a62131af5fe8e.jpg,1,1101,2011,"(85, 107, 682, 469)",4,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\5133ca181b82af.jpg,1,1101,2011,"(91, 23, 759, 551)",2,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\6632ec1c2f7f87.jpg,1,1101,2011,"(58, 134, 707, 504)",5,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\67c264ccb6f982.jpg,1,1101,2011,"(41, 152, 868, 523)",4,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\7a6282504fdd2c.jpg,1,1101,2011,"(114, 29, 684, 503)",1,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\8a8a9bc65fab0b.jpg,1,1101,2011,"(89, 108, 692, 504)",4,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\8cef236c1c21c4.jpg,1,1101,2011,"(43, 153, 871, 433)",3,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\916ce33e9be813.jpg,1,1101,2011,"(114, 70, 681, 530)",2,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\a2b94dda8e9630.jpg,1,1101,2011,"(22, 193, 877, 481)",3,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\a476ea5838ce2b.jpg,1,1101,2011,"(118, 29, 672, 513)",1,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\adb149361578ad.jpg,1,1101,2011,"(88, 64, 699, 508)",1,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\b19e774ce016a1.jpg,1,1101,2011,"(37, 137, 877, 557)",5,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\c88f6cc28d05a9.jpg,1,1101,2011,"(99, 116, 705, 506)",5,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\cf56202f4dc511.jpg,1,1101,2011,"(64, 111, 841, 507)",5,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\dd8d3efe9b0695.jpg,1,1101,2011,"(59, 167, 713, 470)",4,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1101\2011\f0a3db2b9f8be9.jpg,1,1101,2011,"(58, 132, 761, 489)",4,1,ABT,ABT A3,MPV
../../data/raw/compcars/image\1\1102\2011\12226a5418fcff.jpg,1,1102,2011,"(122, 84, 648, 512)",1,1,ABT,ABT A4,MPV
../../data/raw/compcars/image\1\1102\2011\59b4911904c8d3.jpg,1,1102,2011,"(109, 204, 677, 453)",4,1,ABT,ABT A4,MPV
../../data/raw/compcars/image\1\1102\2011\602de0afa91b7e.jpg,1,1102,2011,"(125, 177, 669, 498)",5,1,ABT,ABT A4,MPV
../../data/raw/compcars/image\1\1102\2011\62305978fd280c.jpg,1,1102,2011,"(86, 194, 716, 493)",5,1,ABT,ABT A4,MPV
../../data/raw/compcars/image\1\1102\2011\919ff82bf6d72e.jpg,1,1102,2011,"(136, 127, 673, 466)",4,1,ABT,ABT A4,MPV
../../data/raw/compcars/image\1\1102\2011\be2d8dec502487.jpg,1,1102,2011,"(133, 87, 657, 513)",2,1,ABT,ABT A4,MPV
../../data/raw/compcars/image\1\1102\2011\c39121138aedfe.jpg,1,1102,2011,"(124, 182, 676, 475)",5,1,ABT,ABT A4,MPV
../../data/raw/compcars/image\1\1102\2011\ea3f1074452fc6.jpg,1,1102,2011,"(128, 118, 659, 463)",1,1,ABT,ABT A4,MPV
../../data/raw/compcars/image\1\1102\2011\f5e658f82a0b2c.jpg,1,1102,2011,"(85, 178, 685, 480)",5,1,ABT,ABT A4,MPV
../../data/raw/compcars/image\1\1102\2012\2b7e22718a70b2.jpg,1,1102,2012,"(76, 147, 862, 499)",4,1,ABT,ABT A4,MPV
../../data/raw/compcars/image\1\1102\2012\4a12e2acda627c.jpg,1,1102,2012,"(36, 122, 879, 579)",5,1,ABT,ABT A4,MPV
../../data/raw/compcars/image\1\1102\2012\88033a30c74ec0.jpg,1,1102,2012,"(12, 173, 899, 570)",4,1,ABT,ABT A4,MPV
../../data/raw/compcars/image\1\1103\2011\02a39da5d64292.jpg,1,1103,2011,"(115, 46, 748, 527)",2,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\036371640e5a26.jpg,1,1103,2011,"(37, 133, 874, 578)",5,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\038d44fa75d4a3.jpg,1,1103,2011,"(135, 53, 662, 473)",1,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\0839000a8ad8c8.jpg,1,1103,2011,"(143, 223, 696, 473)",4,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\13d4ee0d87216b.jpg,1,1103,2011,"(148, 220, 684, 480)",5,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\1a181baee56de8.jpg,1,1103,2011,"(73, 139, 745, 467)",4,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\274d745c220d62.jpg,1,1103,2011,"(137, 229, 686, 491)",5,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\279e8cfa89bdec.jpg,1,1103,2011,"(113, 277, 708, 475)",3,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\5489648f0d838c.jpg,1,1103,2011,"(84, 55, 731, 499)",5,1,ABT,ABT A5,MPV
../../data/raw/compcars/image\1\1103\2011\5a3522a1e25443.jpg,1,1103,2011,"(49, 78, 742, 478)",4,1,ABT,ABT A5,MPV
