image_path,surveillance_model_id,make_name,model_name,web_nature_model_id,color_id,color_name,split
../../data/raw/compcars/sv_data\image\1\0045bf200186bd.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\009bba9ee2ed8e.jpg,1,Besturn,Besturn X80,366,9,silver,test
../../data/raw/compcars/sv_data\image\1\017c43042e16f6.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\07ec8a3d055e72.jpg,1,Besturn,Besturn X80,366,9,silver,train
../../data/raw/compcars/sv_data\image\1\092b65623967e7.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\0e8a7287c378ff.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\0eed21b097bf8e.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\0fab7507c6a2e8.jpg,1,Besturn,Besturn X80,366,1,white,test
../../data/raw/compcars/sv_data\image\1\10657c80bffb46.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\12e80f78dac16e.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\134d388f966f64.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\14007476590e34.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\1421370b4c1640.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\15aaa0014133b3.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\188dfe2b8a8e1b.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\19423f1c325609.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\1d27c8b833e439.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\1ff86f438011ed.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\21f1aef96a0bfd.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\24e8b00d66285f.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\272e65e0bfd428.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\27a7eedcb9c73d.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\29cd0c23c5dbfb.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\2a510d59c3bcca.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\2ca1c284955d97.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\2dff4823ac877e.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\2fdc007107af4d.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\317955669b7245.jpg,1,Besturn,Besturn X80,366,0,black,test
../../data/raw/compcars/sv_data\image\1\31f91eec57af31.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\328d50bbc360d9.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\32a76a0bfeed4b.jpg,1,Besturn,Besturn X80,366,1,white,train
../../data/raw/compcars/sv_data\image\1\35f23acdafa831.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\417005a61056cf.jpg,1,Besturn,Besturn X80,366,1,white,test
../../data/raw/compcars/sv_data\image\1\426a7a804b7c40.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\431e8997607115.jpg,1,Besturn,Besturn X80,366,2,red,train
../../data/raw/compcars/sv_data\image\1\46d2a7ca282112.jpg,1,Besturn,Besturn X80,366,1,white,test
../../data/raw/compcars/sv_data\image\1\4df4533f99dfa6.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\5a3e91c63c762b.jpg,1,Besturn,Besturn X80,366,9,silver,train
../../data/raw/compcars/sv_data\image\1\5f7803158d3e02.jpg,1,Besturn,Besturn X80,366,0,black,train
../../data/raw/compcars/sv_data\image\1\6157096308fc1e.jpg,1,Besturn,Besturn X80,366,0,black,test
