experiment_split,make_name,count
train,Audi,80
train,BAW,35
train,BWM,80
train,BYD,80
train,Baojun,80
train,Benz,80
train,Besturn,80
train,Brabus,17
train,Buck,80
train,Cadillac,80
train,Changan,80
train,Chevy,80
train,Chrey,80
train,Chrysler,37
train,Citroen,80
train,DS,80
train,Dongfengfengdu,28
train,Dongfengfengshen,80
train,Dongfengfengxing,39
train,Everus,17
train,FIAT,80
train,Ford,80
train,Fuqiqiteng,12
train,GAC,10
train,Geely,80
train,GreatWall,80
train,Guangqichuanqi,27
train,Haima,80
train,Haval,56
train,Honda,80
train,Huatai,15
train,Hyundai ,80
train,Infiniti,80
train,Jaguar,80
train,Jeep,80
train,Jianghuai,80
train,Jinbei,17
train,Jonway,11
train,KIA,80
train,Karry,10
train,LAND-ROVER,80
train,Lamorghini ,48
train,Lexus,80
train,Lifan,55
train,Lotus,13
train,Lufeng,37
train,MAZDA,80
train,MG,80
train,MINI,80
train,Mitsubishi,80
train,Nissan,80
train,Opel,67
train,Peugeot,80
train,Porsche,80
train,Qoros,16
train,Renault,80
train,Roewe,80
train,Ruiqi,24
train,SAAB,12
train,Shangqidatong,11
train,Shuanglong,11
train,Skoda,80
train,Subaru,45
train,Suzuki,80
train,Toyota,80
train,Venucia,37
train,Volkswagen,80
train,Volvo,80
train,Wealeak,8
train,Wuling,60
train,Yiqi,73
train,Zhonghua,80
train,Zoyte,15
train,Zxauto,47
train,smart,66
validation,Audi,20
validation,BAW,9
validation,BWM,20
validation,BYD,20
validation,Baojun,20
validation,Benz,20
validation,Besturn,20
validation,Brabus,5
validation,Buck,20
validation,Cadillac,20
validation,Changan,20
validation,Chevy,20
validation,Chrey,20
validation,Chrysler,10
validation,Citroen,20
validation,DS,20
validation,Dongfengfengdu,8
validation,Dongfengfengshen,20
validation,Dongfengfengxing,10
validation,Everus,5
validation,FIAT,20
validation,Ford,20
validation,Fuqiqiteng,4
validation,GAC,3
validation,Geely,20
validation,GreatWall,20
validation,Guangqichuanqi,7
validation,Haima,20
validation,Haval,15
validation,Honda,20
validation,Huatai,4
validation,Hyundai ,20
validation,Infiniti,20
validation,Jaguar,20
validation,Jeep,20
validation,Jianghuai,20
validation,Jinbei,5
validation,Jonway,3
validation,KIA,20
validation,Karry,3
validation,LAND-ROVER,20
validation,Lamorghini ,12
validation,Lexus,20
validation,Lifan,14
validation,Lotus,4
validation,Lufeng,10
validation,MAZDA,20
validation,MG,20
validation,MINI,20
validation,Mitsubishi,20
validation,Nissan,20
validation,Opel,17
validation,Peugeot,20
validation,Porsche,20
validation,Qoros,4
validation,Renault,20
validation,Roewe,20
validation,Ruiqi,6
validation,SAAB,4
validation,Shangqidatong,3
validation,Shuanglong,3
validation,Skoda,20
validation,Subaru,12
validation,Suzuki,20
validation,Toyota,20
validation,Venucia,10
validation,Volkswagen,20
validation,Volvo,20
validation,Wealeak,2
validation,Wuling,16
validation,Yiqi,19
validation,Zhonghua,20
validation,Zoyte,4
validation,Zxauto,12
validation,smart,17
