class,support,recall
Audi,20,0.6
BAW,9,0.8888888888888888
BWM,20,0.85
BYD,20,0.45
Baojun,20,0.4
Benz,20,0.5
Besturn,20,0.45
Brabus,5,0.6
Buck,20,0.6
Cadillac,20,0.9
Changan,20,0.35
Chevy,20,0.25
Chrey,20,0.1
Chrysler,10,0.9
Citroen,20,0.5
DS,20,0.6
Dongfengfengdu,8,0.875
Dongfengfengshen,20,0.45
Dongfengfengxing,10,0.9
Everus,5,0.6
FIAT,20,0.6
Ford,20,0.35
Fuqiqiteng,4,1.0
GAC,3,0.6666666666666666
Geely,20,0.35
GreatWall,20,0.3
Guangqichuanqi,7,0.8571428571428571
Haima,20,0.5
Haval,15,0.8
Honda,20,0.65
Huatai,4,0.5
Hyundai ,20,0.65
Infiniti,20,0.35
Jaguar,20,0.65
Jeep,20,0.75
Jianghuai,20,0.25
Jinbei,5,1.0
Jonway,3,0.3333333333333333
KIA,20,0.5
Karry,3,0.6666666666666666
LAND-ROVER,20,0.8
Lamorghini ,12,1.0
Lexus,20,0.65
Lifan,14,0.5714285714285714
Lotus,4,0.25
Lufeng,10,0.9
MAZDA,20,0.6
MG,20,0.55
MINI,20,0.85
Mitsubishi,20,0.15
Nissan,20,0.2
Opel,17,0.5294117647058824
Peugeot,20,0.2
Porsche,20,0.6
Qoros,4,0.75
Renault,20,0.55
Roewe,20,0.55
Ruiqi,6,0.3333333333333333
SAAB,4,0.0
Shangqidatong,3,0.6666666666666666
Shuanglong,3,1.0
Skoda,20,0.85
Subaru,12,0.4166666666666667
Suzuki,20,0.35
Toyota,20,0.35
Venucia,10,0.8
Volkswagen,20,0.2
Volvo,20,0.55
Wealeak,2,0.0
Wuling,16,0.9375
Yiqi,19,0.5789473684210527
Zhonghua,20,0.35
Zoyte,4,0.75
Zxauto,12,0.75
smart,17,0.8235294117647058
